1101	槐荫	98	3100
1102	槐荫	110	3300
1103	历下	20	750
1104	槐荫	89	1500
1105	槐荫	80	2000
1106	槐荫	120	3600
1107	槐荫	118	2000
1108	历城	17	600
1109	历下	91	2600
1110	槐荫	30	1500
1111	槐荫	96	2300
1112	市中	143	3000
1113	市中	143	3000
1114	市中	186	4500
1115	历下	80	2800
1116	市中	70	2000
1117	历城	125	2500
1118	历城	15	650
1119	天桥	89	2800
1120	高新	30	600
1121	市中	96	1800
1122	市中	119	2800
1123	槐荫	262	6000
1124	历城	58	1200
1125	历城	88	1500
1126	天桥	50	800
1127	历下	40	1499
1128	市中	96	3299
1129	历下	50	1600
1130	历城	58	1500
1131	槐荫	93	2200
1132	历城	500	388
1133	槐荫	116	2200
1134	槐荫	109	2500
1135	槐荫	93	2300
1136	天桥	50	900
1137	槐荫	101	2100
1138	槐荫	118	2000
1139	天桥	70	1200
1140	历下	50	1500
1141	章丘	94	1350
1142	天桥	50	2800
1143	槐荫	97	700
1144	槐荫	139	3150
1145	槐荫	90	2000
1146	天桥	110	1600
1147	历下	56	1800
1148	高新	101	3200
1149	槐荫	78	1500
1150	历下	120	2800
1151	历下	80	350
1152	历下	30	1000
1153	高新	20	800
1154	历下	115	2500
1155	槐荫	98	3100
1156	历下	42	1499
1157	高新	122	4300
1158	市中	65	2000
1159	天桥	70	1100
1160	天桥	50	1350
1161	历下	60	2200
1162	高新	81	2800
1163	历城	30	1100
1164	槐荫	60	1500
1165	槐荫	92	1700
1166	市中	72	2200
1167	历城	120	800
1168	天桥	96	1800
1169	长清	99	1300
1170	槐荫	30	650
1171	市中	64	3000
1172	历城	160	380
1173	市中	68	1500
1174	槐荫	42	1500
1175	天桥	60	800
1176	历城	20	950
1177	市中	98	3000
1178	槐荫	94	2500
1179	槐荫	115	2000
1180	历城	85	1600
1181	槐荫	60	1500
1182	历下	80	1200
1183	长清	93	1000
1184	高新	1600	4200
1185	槐荫	107	1500
1186	历城	97	2500
1187	市中	64	3000
1188	天桥	36	1300
1189	天桥	25	920
1190	历下	10	800
1191	天桥	50	1300
1192	历下	17	500
1193	高新	92	2600
1194	历下	220	5800
1195	市中	60	1900
1196	槐荫	56	2300
1197	济阳	78	1250
1198	市中	56	1900
1199	槐荫	174	5000
1200	历城	86	1700
1201	槐荫	90	1300
1202	槐荫	126	1200
1203	市中	30	450
1204	天桥	50	800
1205	市中	100	1800
1206	历下	110	3000
1207	历城	84	2700
1208	高新	47	1800
1209	天桥	73	2450
1210	历下	93	3500
1211	天桥	50	1000
1212	历下	93	3100
1213	历城	17	800
1214	历下	38	1400
1215	天桥	1500	1400
1216	历下	22	800
1217	历下	97	4000
1218	市中	92	3000
1219	历城	38	1499
1220	天桥	65	1200
1221	历下	170	11000
1222	历下	28	800
1223	槐荫	76	1800
1224	历城	88	2000
1225	高新	25	750
1226	高新	30	面议
1227	天桥	55	700
1228	天桥	25	400
1229	天桥	60	800
1230	天桥	60	1300
1231	槐荫	30	500
1232	天桥	110	3000
1233	历城	78	2000
1234	历城	100	2200
1235	历城	80	850
1236	天桥	45	1200
1237	槐荫	110	2600
1238	高新	92	3000
1239	历下	27	880
1240	市中	20	580
